,CL_NM,TRRSRT_NM,ADDR,ADDR_new,TEL_NO,TOT_ENTRN_NMPR_CO,SETLE_PRICE,ENTRN_DE,SGNG_CD,LGDNG_CD
1429,기타,제주수목원 플레이박스,제주특별자치도 제주시 은수길 69,제주특별자치도 제주시 연동,647423700.0,2,26000,20211016,50110,13700
1430,기타,고스트타운,제주특별자치도 제주시 애월읍 부룡수길 35-12,제주특별자치도 제주시 애월읍 신엄리,647996001.0,3,16600,20211016,50110,25326
1431,기타,제주수목원 플레이박스,제주특별자치도 제주시 은수길 69,제주특별자치도 제주시 연동,647423700.0,2,18000,20211016,50110,13700
1432,기타,제주수목원 플레이박스,제주특별자치도 제주시 은수길 69,제주특별자치도 제주시 연동,647423700.0,2,18000,20211017,50110,13700
1433,기타,제주수목원 플레이박스,제주특별자치도 제주시 은수길 69,제주특별자치도 제주시 연동,647423700.0,4,52000,20211017,50110,13700
1434,기타,제주수목원 플레이박스,제주특별자치도 제주시 은수길 69,제주특별자치도 제주시 연동,647423700.0,2,26000,20211017,50110,13700
1435,기타,제주수목원 플레이박스,제주특별자치도 제주시 은수길 69,제주특별자치도 제주시 연동,647423700.0,2,18000,20211020,50110,13700
1436,기타,제주수목원 플레이박스,제주특별자치도 제주시 은수길 69,제주특별자치도 제주시 연동,647423700.0,2,18000,20211021,50110,13700
1437,기타,제주수목원 플레이박스,제주특별자치도 제주시 은수길 69,제주특별자치도 제주시 연동,647423700.0,2,18000,20211021,50110,13700
1438,기타,고스트타운,제주특별자치도 제주시 애월읍 부룡수길 35-12,제주특별자치도 제주시 애월읍 신엄리,647996001.0,4,23400,20211022,50110,25326
1439,기타,제주수목원 플레이박스,제주특별자치도 제주시 은수길 69,제주특별자치도 제주시 연동,647423700.0,4,36000,20211022,50110,13700
1440,기타,제주수목원 플레이박스,제주특별자치도 제주시 은수길 69,제주특별자치도 제주시 연동,647423700.0,2,26000,20211026,50110,13700
1441,기타,제주수목원 플레이박스,제주특별자치도 제주시 은수길 69,제주특별자치도 제주시 연동,647423700.0,2,26000,20211026,50110,13700
