"콘텐츠명","노키즈존","예약가능여부","룸보유여부","유아서비스기타","평일오픈시간","평일클로즈시간","주말오픈시간","주말클로즈시간","휴식시작시간","휴식종료시간","대표메뉴기타"
"북촌에가면","","","","","10:00","18:00","10:00","18:00","","",""
"미친부엌","","","","","17:30","24:00","17:30","24:00","","",""
"코코찌봉","","","","","15:00","24:00","15:00","24:00","","",""
"제주광어직판장","","","","","11:00","22:00","11:00","22:00","","",""
"동도원","","","","","08:00","20:00","08:00","20:00","","",""
"금보","","","","","07:30","22:30","07:30","22:30","","",""
"해월향","","","","","11:00","21:30","11:00","21:30","","",""
"제일식당","","","","","","","","","","",""
"옹포별장가든","","","","","10:00","21:00","10:00","21:00","","",""
"거부한정식(신제주점)","","","","","09:00","21:00","09:00","21:00","","",""
"뜰향기","","","","","09:30","19:30","09:30","19:30","","",""
"거닐다","","","","","11:00","20:00","11:00","20:00","","",""
"다미진","","","","","11:30","23:30","11:30","23:30","","",""
"대원가","","","","","09:00","21:00","09:00","21:00","","",""
"육갑봉","","","","","10:00","19:00","10:00","19:00","","",""
"제주슬로비","","","","","11:00","21:00","11:00","21:00","","",""
"앨리스 카페","","","","","11:30","23:30","11:30","23:30","","",""
"현경식당","","","","","11:00","22:00","11:00","22:00","","",""
"텍시아","","","","","11:00","18:00","11:00","18:00","","",""
"다올터해장국","","","","","06:00","22:00","06:00","22:00","","",""
"도희네칼국수","","y","","","09:00","15:30","09:00","15:30","","",""
"벨로인카페","","","","","10:00","24:00","10:00","13:00","","",""
"알라스카인제주","","","","","12:00","21:00","12:00","21:00","","",""
"명랑스낵","y","n","","","11:30","18:15","11:30","18:15","","","떡볶이, 짜장떡볶이"
"부두식당 (모슬포)","","","","","08:30","21:30","08:30","21:30","","",""
"연우네","","","","","11:00","21:00","11:00","21:00","","",""
"경주네횟집","","","","","10:00","22:00","10:00","22:00","","",""
"만민식당","","","","","09:00","21:00","09:00","21:00","","",""
"바다를본돼지(판포점)","","","","","12:00","22:00","12:00","22:00","","",""
"연미정","","","","","09:00","21:00","09:00","21:00","","",""
"모락","","","","","11:00","","11:00","","","",""
"뵈뵈","","","","","11:00","20:00","11:00","20:00","","",""
"남해횟집","","","","","17:00","23:00","17:00","23:00","","",""
"24시 뼈다귀탕 제주점","","","","","00:00","24:00","00:00","24:00","","",""
"육값하네식육가든","","","","","16:00","22:00","16:00","22:00","","",""
"삼수정","","","","","09:00","22:00","09:00","22:00","","",""
"짜장면시키신분 마라점","","","","","","","","","","",""
"돈마구이해장국(연동점)","","","","","10:00","22:00","08:00","22:00","","",""
"서귀포갈비","","","","","","","","","","",""
"황토기와집","","","","","11:00","20:00","11:00","20:30","","",""
"올랭이와물꾸럭","","","","","17:00","21:00","16:00","22:00","","",""
"피자굽는돌하르방","","","","","11:30","18:00","11:30","18:00","","",""
"레이지박스","","","","","10:00","18:30","10:00","18:30","","",""
"노을언덕","","","","","09:00","23:00","09:00","23:00","","",""
"젠하이드어웨이","","","","","11:00","21:00","11:00","21:00","","",""
