"여행일정ID","언어코드","제목","조회수","공유수","여행시작일","여행종료일","인원","여행기간","태그","등록일시","수정일시","추천일정등록여부","공개여부","댓글수","댓글수_1","북마크수","사용여부","SNS공유수","인기점수"
"15861","kr","힐링여행",2,0,21/06/21,21/06/24,1,4,"#친구#힐링#제주도,혼자,휴식과 치유 여행",21/04/12,21/04/13,"n","n",0,0,0,"n",0,4
"15909","kr","두 처리와 2박3일",0,0,21/04/18,21/04/20,3,3,"친구,휴식과 치유 여행,친구,휴식,치유",21/04/16,21/04/16,"n","n",0,0,0,"y",0,
"15945","kr","신혼여행",0,0,21/05/02,21/05/06,2,5,"커플,레저와 체험,식도락",21/04/20,21/04/20,"n","n",0,0,0,"y",0,
"16000","kr","태교여행",1,0,21/04/29,21/05/02,2,4,"커플,휴식과 치유 여행,ㅁㄴㅇㅁㄴㅇ",21/04/26,21/04/26,"n","n",0,0,0,"n",0,2
"16001","kr","124124",0,0,21/04/29,21/05/02,2,4,"1351354134,커플,휴식과 치유 여행",21/04/26,21/04/26,"n","n",0,0,0,"y",0,
"16021","kr","가족 여행",1,0,21/05/02,21/05/04,4,3,"아이,활동/레저,아이맞춤여행,제주봄여행,제주도가족여행",21/04/27,21/04/27,"n","n",0,0,0,"y",0,2
"16035","kr","5박6일 가족여행",1,0,21/05/01,21/05/06,4,6,"아이,휴식과 치유 여행,식도락",21/04/29,21/04/29,"n","n",0,0,0,"y",0,2
"16036","kr","5박6일 가족여행",0,0,21/05/01,21/05/06,4,6,"아이,휴식과 치유 여행,식도락",21/04/29,21/04/29,"n","n",0,0,0,"y",0,
"16046","kr","ㅂㄻㄴㅇㄹ ㅁㅇㄻㄴㅇ",3,0,21/05/05,21/05/07,1,3,"친구,식도락 여행,ㅁㄴㅇㄻ,ㅁㄴㅇㄹ",21/05/01,21/05/03,"n","n",0,0,0,"n",0,6
"16106","en","My Jeju Trip",0,0,21/05/29,21/05/30,2,2,"Couple,Healing,Jeju",21/05/04,21/05/04,"n","n",0,0,0,"n",0,
"16141","kr","부모님과 함께하는 2박 3일",0,0,21/05/10,21/05/12,3,3,"부모,식도락 여행,힐링",21/05/08,21/05/08,"n","n",0,0,0,"y",0,
"16150","kr","둘리틀 특공대",2,0,21/06/18,21/06/21,4,4,"아이,레저와 체험,여행,제주도",21/05/09,21/05/09,"n","n",0,0,0,"n",0,4
"16178","kr","♥신혼여행♥",3,0,21/06/07,21/06/11,2,5,"커플,휴식과 치유 여행,신혼여행",21/05/12,21/05/12,"n","n",0,0,0,"y",0,6
"16183","kr","메가패스 상품 관련 문의입니다.",1,0,21/05/18,21/05/27,4,10,"천천히 걷기,아이,여행",21/05/12,21/10/25,"n","n",0,0,0,"y",0,2
"16260","kr","행복한여행",1,0,21/05/19,21/05/23,2,5,"커플,휴식과 치유 여행,맛집,드라이브,힐링",21/05/18,21/05/18,"n","n",0,0,0,"y",0,2
"16291","kr","홍성명동상가",0,0,21/10/18,21/10/19,10,2,"전시와 행사,친구,상가",21/05/21,21/05/21,"n","n",0,0,0,"y",0,
"16308","kr","3박 4일 제주도 여행기",1,0,21/06/16,21/06/19,2,4,"식도락 여행,친구,맛집",21/05/22,21/05/23,"n","n",0,0,0,"y",0,2
"16310","kr","우리 가족 이야기",1,0,21/05/26,21/06/02,3,8,"부모,휴식과 치유 여행,여유",21/05/22,21/05/22,"n","n",0,0,0,"y",0,2
"16343","kr","아버님칠순:)",1,0,21/06/25,21/06/27,9,3,"부모,휴식과 치유 여행,#아버지칠순,#2박3일제주여행",21/05/24,21/06/14,"n","n",0,0,0,"y",0,2
"16361","kr","어머니와 함께",4,0,21/05/28,21/05/30,5,3,"부모,휴식과 치유 여행,부모님",21/05/25,21/05/29,"n","n",0,0,0,"y",0,8
"16365","kr","단체가족여행(4박5일)",1,0,21/05/26,21/05/30,9,5,"부모,천천히걷기,휴식과치유여행,레저와 체험",21/05/25,21/05/25,"n","y",0,0,0,"y",0,2
"15504","kr","ddd",1,0,21/03/10,21/03/18,1,9,"커플,제주의 문화유산,dddd,dd",21/03/11,21/03/11,"n","n",0,0,0,"y",0,2
"15554","kr","아더와 3박4일",2,0,21/03/20,21/03/23,2,4,"커플,식도락 여행,대중교통,친구,친구",21/03/16,21/03/16,"n","y",0,0,0,"y",0,4
"15557","kr","3박4일 휠링",1,0,21/03/19,21/03/22,2,4,"친구,우도방문,돌문화공원,섭지코지,천천히 걷기",21/03/16,21/03/23,"n","n",0,0,0,"n",0,2
"15573","kr","우리만의 봄여행",5,0,21/04/01,21/04/04,3,4,"아이,휴식과 치유 여행,봄",21/03/18,21/04/02,"n","n",0,0,0,"y",0,10
"15583","kr","3박 4일 제주 여행",0,0,21/03/24,21/03/27,8,4,"전시,친구,식도락 여행",21/03/18,21/03/18,"n","y",0,0,0,"y",0,
"15585","kr","1박2일",1,0,21/03/21,21/03/22,2,2,"커플,휴식과 치유 여행,자유여행",21/03/18,21/03/18,"n","n",0,0,0,"n",0,2
"15606","kr","2021가족여행",5,0,21/06/01,21/06/05,3,5,"아이,레저와 체험,가족",21/03/21,21/04/14,"n","y",0,0,0,"y",0,10
"15607","kr","BlankPInk 우정여행",1,0,21/06/17,21/06/19,4,3,"친구,레저와 체험,친구,우정여행",21/03/21,21/05/17,"n","n",0,0,0,"y",0,2
"15623","kr","우리가족 첫 여행",0,0,21/04/16,21/04/18,3,3,"아이,휴식과 치유 여행,제주도",21/03/22,21/03/29,"n","n",0,0,0,"n",0,
"15681","kr","알고보면 쓸데많은 신비한 제주여행",1,0,21/03/28,21/03/31,3,4,"아이,제주의 문화유산,문화유적지,테마공원,4.3",21/03/27,21/03/27,"n","y",0,0,0,"y",0,2
