장소ID,장소명,도로명주소,장소상세설명,위도,경도,등록일시,수정일시,지번주소,사용여부
4742,둘째날 숙소,제주특별자치도 제주시 도령로 142,성산읍 시흥 하동로 55번길 14-1,33.4718319,126.9051886,2022-01-03,2022-01-03,제주특별자치도 서귀포시 성산읍 시흥리 145,y
4745,제주공항,,.,33.5062765,126.4933112,2022-01-04,2022-01-04,제주특별자치도 제주시 용담2동 2002-7,y
4746,제주 항만,제주특별자치도 제주시 연무정길 42-1,제주 도착,33.5160807,126.5345958,2022-01-05,2022-01-05,제주특별자치도 제주시 건입동 1053-12,y
4752,천진항,,우도항,33.4923568,126.9505485,2022-01-05,2022-01-05,제주특별자치도 제주시 우도면 연평리,y
4750,제주국제공항,,.,33.5058127,126.4932426,2022-01-05,2022-01-05,제주특별자치도 제주시 용담2동 1462,y
4753,무민랜드,,무민랜드제주,33.305948,126.3833942,2022-01-05,2022-01-05,제주특별자치도 서귀포시 안덕면 상천리 469,y
4754,숙소,,김녕윈드스톤,33.5451992,126.7312133,2022-01-07,2022-01-07,제주특별자치도 제주시 구좌읍 김녕리 5545,y
4755,제주 이마트,,이마트,33.5175207,126.5203975,2022-01-07,2022-01-07,제주특별자치도 제주시 삼도2동 1189-2,y
4756,재래시장,,동문재래시장 (수산시장),33.5115094,126.5260264,2022-01-07,2022-01-07,제주특별자치도 제주시 이도1동 1932-51,y
4757,허브동산,제주특별자치도 서귀포시 태평로512번길 10 동홍4 주공아파트,허브동산체험,33.2488278,126.5726745,2022-01-07,2022-01-07,제주특별자치도 서귀포시 동홍동 355-1,y
4759,순창갈비,제주특별자치도 제주시 옹포2길 30,갈비맛집,33.4888649,126.4877232,2022-01-07,2022-01-07,제주특별자치도 제주시 연동 251,y
4763,덴드리 카페,제주특별자치도 서귀포시 삼달로164번길 100-104,카페,33.3702912,126.8672551,2022-01-07,2022-01-07,제주특별자치도 서귀포시 성산읍 삼달리 87-2,y
