콘텐츠명,평일오픈시간,평일클로즈시간,주말오픈시간,주말클로즈시간,휴식시작시간,휴식종료시간,난이도,장애인주차구역,장애인엘레베이터,장애인화장실,장애인화장실유효공간,장애인관람석및열람석,영유아돌봄시설,안내소접근가능여부,기타시설
마라도잠수함,9:00,18:00,9:00,18:00,,,,,,,,,,,
더마파크,9:00,18:00,9:00,18:00,,,1,y,,y,y,y,n,y,"휠체어, 유모차, "
하멜상선전시관,8:00,18:00,8:00,18:00,,,,,,,,,,,
고근산(고공산),,,,,,,,,,,,,,,
파군봉(바굼지오름),,,,,,,,,,,,,,,
산방산,,,,,,,,,,,,,,,
삼양해수욕장,,,,,,,,,,,,,n,,
싱계물 공원,,,,,,,,,,,,,,,
핀크스 골프클럽,,,,,,,,,,,,,,,
중앙병원,9:00,17:00,,,,,,,,,,,,,
북촌돌하르방미술관,9:00,17:00,9:00,17:00,,,,,,,,,,,
제주불교성지 순례길 절로가는길 - 선정의 길,,,,,,,,,,,,,,,
우도보물섬레져,,,,,,,,,,,,,,,
우도현대렌트,,,,,,,,,,,,,,,
서프라이즈테마파크,9:00,21:00,9:00,21:00,,,1,,,,,,,,
살핀오름,,,,,,,,,,,,,,,
소수산봉(족은물뫼),,,,,,,,,,,,,,,
썬플라워의원,10:00,18:00,,,,,,,,,,,,,
추자도,,,,,,,,,,,,,,,
마라도등대,,,,,,,,,,,,,,,
"검은덕이(검은데기,금덕오름,검은덕오름,今德)",,,,,,,,,,,,,,,
제주올레 21코스,,,,,,,,,,,,,,,
높은오름,,,,,,,,,,,,,,,
대유ATV수렵사격랜드,,,,,,,,,,,,,,,
ㅇㅇㄹㅇㄹㄴㅇㅍㅇㄹ,0:00,0:00,0:00,0:00,,,,,,,,,,,
우도팔경레져,,,,,,,,,,,,,,,
동알오름,,,,,,,,,,,,,,,
섭지코지,0:00,0:00,0:00,0:00,,,3,y,,y,y,,,,
화순리 유채꽃길,,,,,,,,,,,,,,,
손지오름,,,,,,,,,,,,,,,
해비치컨트리클럽제주,8:00,18:00,8:00,18:00,,,,,,,,,,,
제주올레 18코스,,,,,,,,,,,,,,,
1112도로,,,,,,,,,,,,,,,
조안베어뮤지엄,9:00,18:00,9:00,18:00,,,,,,,,,,,
예절이오름(여절악),,,,,,,,,,,,,,,
위미항,,,,,,,,,,,,,,,
성널오름 (성판악),,,,,,,,,,,,,,,
제주올레 19코스,,,,,,,,,,,,,,,
서귀포칠십리시공원,,,,,,,,,,,,,,,
성읍목장,,,,,,,,,,,,,,,
설오름,,,,,,,,,,,,,,,
평수포구,,,,,,,,,,,,,,,
밝은오름 (벌근오름),,,,,,,,,,,,,,,
돛오름,,,,,,,,,,,,,,,
성읍녹차마을,9:00,18:00,9:00,18:00,,,,,,,,,,,
제주올레 20코스,,,,,,,,,,,,,,,
제주4.3평화공원,9:00,17:30,9:00,17:30,,,,,,,,,,,
