LG_CAT,MD_CAT,SM_CAT,FUEL_TYPE,FUEL_COST,SCALE,FACTOR
자동차,BMW,3시리즈 330i 럭셔리 라인(2020),Gasoline,11.1,kgCO2/km,0.198024505
자동차,BMW,3시리즈 330i M 스포츠 패키지(2020),Gasoline,11.1,kgCO2/km,0.198024505
자동차,BMW,3시리즈 320i 투어링 럭셔리(2020),Gasoline,11.7,kgCO2/km,0.187869402
자동차,BMW,3시리즈 320i 투어링(2020),Gasoline,11.7,kgCO2/km,0.187869402
자동차,BMW,3시리즈 330e 럭셔리(2020),Gasoline/Hybrid,16.7,kgCO2/km,0.131621078
자동차,BMW,3시리즈 330e M 스포츠 패키지(2020),Gasoline/Hybrid,16.7,kgCO2/km,0.131621078
자동차,BMW,3시리즈 320d x드라이브 GT(2019),Diesel,12.1,kgCO2/km,0.219318982
자동차,BMW,3시리즈 320d x드라이브 GT 스포츠 라인(2019),Diesel,12.1,kgCO2/km,0.219318982
자동차,BMW,3시리즈 320d GT(2019),Diesel,13,kgCO2/km,0.20413536
자동차,BMW,3시리즈 320d GT 럭셔리 라인(2019),Diesel,13,kgCO2/km,0.20413536
자동차,BMW,3시리즈 320d x드라이브(2019),Diesel,13.5,kgCO2/km,0.196574791
자동차,BMW,3시리즈 320d x드라이브 럭셔리(2019),Diesel,13.5,kgCO2/km,0.196574791
자동차,BMW,3시리즈 320d x드라이브 M 스포츠 패키지(2019),Diesel,13.5,kgCO2/km,0.196574791
자동차,BMW,3시리즈 320d(2019),Diesel,14.3,kgCO2/km,0.1855776
자동차,BMW,3시리즈 320d 럭셔리(2019),Diesel,14.3,kgCO2/km,0.1855776
자동차,BMW,3시리즈 320d M 스포츠 패키지(2019),Diesel,14.3,kgCO2/km,0.1855776
자동차,BMW,3시리즈 330i x드라이브 럭셔리(2019),Gasoline,10.4,kgCO2/km,0.211353077
자동차,BMW,3시리즈 330i x드라이브 M 스포츠 패키지(2019),Gasoline,10.4,kgCO2/km,0.211353077
자동차,BMW,3시리즈 330i 럭셔리(2019),Gasoline,11.1,kgCO2/km,0.198024505
자동차,BMW,3시리즈 330i M 스포츠 패키지(2019),Gasoline,11.1,kgCO2/km,0.198024505
자동차,BMW,4시리즈 420d 쿠페 M 스포츠 패키지(2022),Diesel,14.3,kgCO2/km,0.1855776
자동차,BMW,4시리즈 420d 그란 쿠페 M 스포츠 패키지(2022),Diesel,15,kgCO2/km,0.176917312
자동차,BMW,4시리즈 420d 그란 쿠페 M 스포츠 퍼스트 에디션(2022),Diesel,15,kgCO2/km,0.176917312
자동차,BMW,4시리즈 M440i x드라이브 컨버터블(2022),Gasoline,9.6,kgCO2/km,0.228965833
자동차,BMW,4시리즈 M440i x드라이브 쿠페(2022),Gasoline,10.4,kgCO2/km,0.211353077
자동차,BMW,4시리즈 M440i x드라이브 쿠페 퍼포먼스 패키지(2022),Gasoline,10.4,kgCO2/km,0.211353077
자동차,BMW,4시리즈 430i 쿠페 퍼스트 에디션(2022),Gasoline,11.1,kgCO2/km,0.198024505
자동차,BMW,4시리즈 420i 그란 쿠페 M 스포츠 패키지(2022),Gasoline,11.2,kgCO2/km,0.196256429
자동차,BMW,4시리즈 420i 그란 쿠페 M 스포츠 퍼스트 에디션(2022),Gasoline,11.2,kgCO2/km,0.196256429
자동차,BMW,4시리즈 420i 컨버터블 M 스포츠 패키지(2022),Gasoline,11.4,kgCO2/km,0.192813333
자동차,BMW,4시리즈 420i 쿠페 M 스포츠 패키지(2022),Gasoline,11.5,kgCO2/km,0.191136696
자동차,BMW,4시리즈 420i 쿠페 퍼포먼스 패키지(2022),Gasoline,11.5,kgCO2/km,0.191136696
자동차,BMW,4시리즈 420d 그란 쿠페 x드라이브 스포츠 라인(2021),Diesel,11.9,kgCO2/km,0.223005015
자동차,BMW,4시리즈 420d 그란 쿠페 럭셔리 라인(2021),Diesel,12.4,kgCO2/km,0.214012877
자동차,BMW,4시리즈 420d 쿠페 M 스포츠 패키지(2021),Diesel,13.7,kgCO2/km,0.193705086
자동차,BMW,4시리즈 420d 쿠페 M 스포츠 패키지(2021),Diesel,14.3,kgCO2/km,0.1855776
자동차,BMW,4시리즈 M440i x드라이브 쿠페(2021),Gasoline,10.4,kgCO2/km,0.211353077
자동차,BMW,4시리즈 M440i x드라이브 쿠페 퍼포먼스 패키지(2021),Gasoline,10.4,kgCO2/km,0.211353077
자동차,BMW,4시리즈 430i 컨버터블 M 스포츠 패키지(2021),Gasoline,11.1,kgCO2/km,0.198024505
자동차,BMW,4시리즈 430i 쿠페 퍼스트 에디션(2021),Gasoline,11.1,kgCO2/km,0.198024505
자동차,BMW,4시리즈 420i 쿠페 M 스포츠 패키지(2021),Gasoline,11.2,kgCO2/km,0.196256429
자동차,BMW,4시리즈 430i 쿠페 M 스포츠 패키지(2021),Gasoline,11.2,kgCO2/km,0.196256429
자동차,BMW,4시리즈 430i 쿠페 M 스포츠 프리미엄 패키지(2021),Gasoline,11.2,kgCO2/km,0.196256429
자동차,BMW,4시리즈 420i 그란 쿠페 럭셔리 라인(2021),Gasoline,11.2,kgCO2/km,0.196256429
자동차,BMW,4시리즈 430i 컨버터블 M 스포츠 패키지(2021),Gasoline,11.3,kgCO2/km,0.194519646
자동차,BMW,4시리즈 420i 컨버터블 M 스포츠 패키지(2021),Gasoline,11.4,kgCO2/km,0.192813333
자동차,BMW,4시리즈 420i 쿠페 M 스포츠 패키지(2021),Gasoline,11.5,kgCO2/km,0.191136696
자동차,BMW,4시리즈 420i 쿠페 퍼포먼스 패키지(2021),Gasoline,11.5,kgCO2/km,0.191136696
자동차,BMW,4시리즈 420d 그란 쿠페 x드라이브 스포츠 라인(2020),Diesel,11.9,kgCO2/km,0.223005015
자동차,BMW,4시리즈 420d 그란 쿠페 럭셔리 라인(2020),Diesel,12.4,kgCO2/km,0.214012877
자동차,BMW,4시리즈 420d 쿠페 M 스포츠 패키지(2020),Diesel,13.7,kgCO2/km,0.193705086
자동차,BMW,4시리즈 430i 컨버터블 M 스포츠 패키지(2020),Gasoline,11.1,kgCO2/km,0.198024505
자동차,BMW,4시리즈 420i 쿠페 M 스포츠 패키지(2020),Gasoline,11.1,kgCO2/km,0.198024505
자동차,BMW,4시리즈 420i 그란 쿠페 스페셜 에디션(2020),Gasoline,11.2,kgCO2/km,0.196256429
자동차,BMW,4시리즈 430i 쿠페 M 스포츠 패키지(2020),Gasoline,11.2,kgCO2/km,0.196256429
자동차,BMW,4시리즈 435d x드라이브 그란 쿠페 M 스포츠 패키지(2019),Diesel,11.5,kgCO2/km,0.230761711
자동차,BMW,4시리즈 420d x드라이브 그란 쿠페 스포츠 라인(2019),Diesel,11.9,kgCO2/km,0.223005015
자동차,BMW,4시리즈 420d 그란 쿠페 럭셔리 라인(2019),Diesel,12.4,kgCO2/km,0.214012877
자동차,BMW,4시리즈 420d 쿠페 M 스포츠 패키지(2019),Diesel,13.7,kgCO2/km,0.193705086
자동차,BMW,4시리즈 420i 쿠페 M 스포츠 패키지(2019),Gasoline,11.1,kgCO2/km,0.198024505
자동차,BMW,4시리즈 430i 컨버터블 M 스포츠 패키지(2019),Gasoline,11.1,kgCO2/km,0.198024505
자동차,BMW,4시리즈 430i 컨버터블 럭셔리 인디비주얼(2019),Gasoline,11.1,kgCO2/km,0.198024505
자동차,BMW,4시리즈 430i 컨버터블 럭셔리 라인(2019),Gasoline,11.1,kgCO2/km,0.198024505
자동차,BMW,4시리즈 420i 그란 쿠페 럭셔리 라인(2019),Gasoline,11.1,kgCO2/km,0.198024505
자동차,BMW,4시리즈 420i 그란 쿠페 스페셜 에디션(2019),Gasoline,11.1,kgCO2/km,0.198024505
자동차,BMW,4시리즈 430i 쿠페 M 스포츠 패키지(2019),Gasoline,11.2,kgCO2/km,0.196256429
자동차,BMW,5시리즈 523d x드라이브 M 스포츠 패키지(2022),Diesel,15.3,kgCO2/km,0.173448345
자동차,BMW,5시리즈 523d x드라이브 럭셔리 라인(2022),Diesel,15.3,kgCO2/km,0.173448345
자동차,BMW,5시리즈 523d 럭셔리(2022),Diesel,15.6,kgCO2/km,0.1701128
자동차,BMW,5시리즈 523d M 스포츠 패키지(2022),Diesel,15.6,kgCO2/km,0.1701128
자동차,BMW,5시리즈 M550i x드라이브(2022),Gasoline,7.9,kgCO2/km,0.278236962
자동차,BMW,5시리즈 530i x드라이브 럭셔리(2022),Gasoline,11,kgCO2/km,0.199824727
자동차,BMW,5시리즈 530i x드라이브 M 스포츠 패키지(2022),Gasoline,11,kgCO2/km,0.199824727
자동차,BMW,5시리즈 530i 럭셔리(2022),Gasoline,12,kgCO2/km,0.183172667
자동차,BMW,5시리즈 530i M 스포츠 패키지(2022),Gasoline,12,kgCO2/km,0.183172667
자동차,BMW,5시리즈 520i 럭셔리(2022),Gasoline,12.4,kgCO2/km,0.177263871
자동차,BMW,5시리즈 520i M 스포츠 패키지(2022),Gasoline,12.4,kgCO2/km,0.177263871
자동차,BMW,5시리즈 530e 럭셔리(2022),Gasoline/Hybrid,17.5,kgCO2/km,0.125604114
자동차,BMW,5시리즈 530e M 스포츠 패키지(2022),Gasoline/Hybrid,17.5,kgCO2/km,0.125604114
자동차,BMW,5시리즈 523d x드라이브 럭셔리 라인(2021),Diesel,15.3,kgCO2/km,0.173448345
자동차,BMW,5시리즈 523d x드라이브 M 스포츠 패키지(2021),Diesel,15.3,kgCO2/km,0.173448345
자동차,BMW,5시리즈 523d M 스포츠 패키지(2021),Diesel,15.6,kgCO2/km,0.1701128
자동차,BMW,5시리즈 523d 럭셔리(2021),Diesel,15.6,kgCO2/km,0.1701128
자동차,BMW,5시리즈 M550i x드라이브(2021),Gasoline,7.9,kgCO2/km,0.278236962
자동차,BMW,5시리즈 M550i x드라이브 프로즌 블랙(2021),Gasoline,7.9,kgCO2/km,0.278236962
자동차,BMW,5시리즈 540i x드라이브 럭셔리(2021),Gasoline,9.9,kgCO2/km,0.222027475
자동차,BMW,5시리즈 540i x드라이브 M 스포츠 패키지(2021),Gasoline,9.9,kgCO2/km,0.222027475
자동차,BMW,5시리즈 530i x드라이브 럭셔리(2021),Gasoline,11,kgCO2/km,0.199824727
자동차,BMW,5시리즈 530i x드라이브 M 스포츠 패키지(2021),Gasoline,11,kgCO2/km,0.199824727
자동차,BMW,5시리즈 530i 럭셔리(2021),Gasoline,12,kgCO2/km,0.183172667
자동차,BMW,5시리즈 530i M 스포츠 패키지(2021),Gasoline,12,kgCO2/km,0.183172667
자동차,BMW,5시리즈 520i 럭셔리(2021),Gasoline,12.4,kgCO2/km,0.177263871
자동차,BMW,5시리즈 520i M 스포츠 패키지(2021),Gasoline,12.4,kgCO2/km,0.177263871
자동차,BMW,5시리즈 530e 럭셔리(2021),Gasoline/Hybrid,17.5,kgCO2/km,0.125604114
자동차,BMW,5시리즈 530e M 스포츠 패키지(2021),Gasoline/Hybrid,17.5,kgCO2/km,0.125604114
자동차,BMW,5시리즈 520d 럭셔리 라인 플러스(2020),Diesel,13.4,kgCO2/km,0.198041767
자동차,BMW,5시리즈 520d M 스포츠 패키지 플러스(2020),Diesel,13.4,kgCO2/km,0.198041767
자동차,BMW,5시리즈 520d x드라이브 럭셔리 라인 플러스(2020),Diesel,13.5,kgCO2/km,0.196574791
자동차,BMW,5시리즈 520d x드라이브 M 스포츠 패키지 플러스(2020),Diesel,13.5,kgCO2/km,0.196574791
자동차,BMW,5시리즈 540i x드라이브 럭셔리 라인 플러스(2020),Gasoline,9.3,kgCO2/km,0.236351828
자동차,BMW,5시리즈 540i x드라이브 M 스포츠 패키지 플러스(2020),Gasoline,9.3,kgCO2/km,0.236351828
자동차,BMW,5시리즈 530i x드라이브 M 스포츠 패키지 플러스(2020),Gasoline,10.3,kgCO2/km,0.213405049
자동차,BMW,5시리즈 530i x드라이브 럭셔리 라인 플러스(2020),Gasoline,10.3,kgCO2/km,0.213405049
자동차,BMW,5시리즈 530i 럭셔리 라인 플러스(2020),Gasoline,10.4,kgCO2/km,0.211353077
자동차,BMW,5시리즈 530i M 스포츠 패키지 플러스(2020),Gasoline,10.4,kgCO2/km,0.211353077
자동차,BMW,5시리즈 520i 럭셔리 라인(2020),Gasoline,11.1,kgCO2/km,0.198024505
자동차,BMW,5시리즈 520i M 스포츠 패키지(2020),Gasoline,11.1,kgCO2/km,0.198024505
자동차,BMW,5시리즈 530e 럭셔리 라인(2020),Gasoline/Hybrid,16.7,kgCO2/km,0.131621078
