,Unnamed: 0.1,Unnamed: 0,MCT_NM,naver_keyword,naver_map_url,menu_list
189,189,189,인디언키친,제주도%20인디언키친,https://m.place.naver.com/restaurant/702550255/menu/list,"양갈비, 양고기 꼬치요리 / LAM TIKKA, 탄두리 치킨, 카쉬미르 까밥, 전복커리 / ABALONE CURRY, 새우커리 / PRAWN CURRY, 버터치킨/BUTTER CHICKEN, 치킨 커리 /CHICKEN CURRY, 양고기 커리 / LAMB CURRY, 양고기 비리아니, 치킨 비리아니, 새우 초우민, 채소 초우민, 빠니르 버터 마살라, 가든커리"
190,190,190,자리돔횟집,제주도%20자리돔횟집,https://m.place.naver.com/restaurant/16912908/menu/list,"고등어회 (소), 고등어회, 방어회 (소), 자리회 (3월말 ~ 7월말), 매운탕,지리, 고등어조림 각, 자리물회, 한치물회, 모듬회 (소), 활한치물회, 활한치덮밥, 객주리물회, 고등어구이, 우럭돔매운탕, 고등어조림 중, 고등어조림 대, 우럭조림 중, 우럭조림 대"
191,191,191,전망좋은집,제주도%20전망좋은집,https://m.place.naver.com/restaurant/1877931061/menu/list,"에스프레소, 아메리카노, 카페라떼, 바닐라라떼, 카페모카, 카라멜마끼아또, 딸기에이드, 베이글, 바나나프렌치토스트, 세계병맥주, 나쵸, 감자튀김, 순살치킨, 비갠플레이트, 새우볶음밥"
192,192,192,제일성심당,제주도%20제일성심당,https://m.place.naver.com/restaurant/16952124/menu/list,"이불빵, 떡도넛, 블루베리 티라미수, 청양고추치아바타, 나비파이, 로쉘 크림치즈, 제주 당근케이크, 단호박쌀카스테라, 기리쉬깍두기"
193,193,193,제주약수터,제주도%20제주약수터,https://m.place.naver.com/restaurant/1259656724/menu/list,"찢은 고기와 빵 (풀드포크BBQ플래터), 무료시음서비스, 제주수제맥주 340cc 글라스, 제주수제맥주 500cc 포장, 제주수제맥주 1000cc 포장, 제주수제맥주 1500cc 포장, 대만식 마늘쫑파스타, 볼로냐식 라구파스타, 미야자키식 닭튀김, 프랑스식 토마토절임과 치즈, 버팔로윙과 감자튀김, 멕시코식 나초칩, 러스크(에피타이저), 태국식당면샐러드, 수제베이컨과 감자튀김"
194,194,194,제주크랩잭,제주도%20제주크랩잭,https://m.place.naver.com/restaurant/1349608772/menu/list,"3종갈치'정식'세트(조림+회+구이), 이조은 갈치조림 (밥도둑), 이조은 갈치조림 3종세트, E조은 갈치조림 3종세트"
195,195,195,제주향토골,제주도%20제주향토골,https://m.place.naver.com/restaurant/36714280/menu/list,"갈치구이 1인, 갈치조림 1인, 갈치국, 고등어구이, 고등어조림 1인, 옥돔구이 1인, 한치물회, 회덮밥, 해물전복뚝배기, 성게미역국, 전복죽, 제주말고기육회, 제주말고기철판구이, 제주말고기육개장, 제주흑돼지제육볶음"
196,196,196,중문마사지,제주도%20중문마사지,https://m.place.naver.com/restaurant/64615557/menu/list,"전신마사지(60분/100분), 스톤아로마마사지(60분/100분), 발마사지(50분), 얼굴마사지(50분)"
197,197,197,카페글렌코,제주도%20카페글렌코,https://m.place.naver.com/restaurant/1281784128/menu/list,"생강차, 아메리카노, 카푸치노, 카페라떼, 녹차라떼, 초코라떼, 밀크티, 오미자차, 한라봉차, 그린 한라봉 또는 오미자에이드, 제주 보리미숫가루 블렌디드, 토마토주스, 카페모카라떼, 바닐라라떼, 카라멜라떼"
198,198,198,카페보롬왓,제주도%20카페보롬왓,https://m.place.naver.com/restaurant/1379867162/menu/list,"에스프레소, 아메리카노, 카페라떼, 카페모카, 바닐라라떼, 보롬커피, 보롬라떼, 눈꽃자몽, 당근주스, 카라멜마끼아토"
199,199,199,카페청굴물,제주도%20카페청굴물,https://m.place.naver.com/restaurant/1559169598/menu/list,"청굴물슈페너, 우도땅콩크림라떼, 김녕에 반하나, 에스프레소, 아메리카노, 카페라떼, 바닐라라떼, 카페모카, 카라멜마끼아또, 아인슈페너, 쑥쑥라떼, 리얼초코, 민트초코, 레몬유자/한라봉/자몽 에이드, 레몬유자/한라봉/자몽 차"
200,200,200,크라운돼지,제주도%20크라운돼지,https://m.place.naver.com/restaurant/1467395655/menu/list,"셰프의 선택 A, 오겹살, 셰프의 선택 B, 쫄데기살(160g), 돈마호크(270g), 크라운 김치찌개, 크라운 물비빔냉면, 크라운 볶음밥"
201,201,201,큰갯물횟집,제주도%20큰갯물횟집,https://m.place.naver.com/restaurant/37101721/menu/list,"🐟자연산활어류, 🐠통갈치구이, 🐟한치회,고등어회,갈치회 각, 🦞매운탕, 갈치조림, 제철회 히라스 , 방어회, 갓돔, 다금바리"
202,202,202,파라토도스,제주도%20파라토도스,https://m.place.naver.com/restaurant/1554789738/menu/list,"3단 트레이 A,B,C, 칵테일, 논알콜 칵테일, 투움바 파스타, 매콤 해물토마토 파스타, 슈림프 알리오올리오, 흑돼지 로제 파스타, 더치커피, 카페라떼, 블랙슈페너, 제주녹차슈페너"
203,203,203,한라봉스시,제주도%20한라봉스시,https://m.place.naver.com/restaurant/1903527640/menu/list,"천국의 섬, 천국의 계단, 천국의 다리, 제주 은갈치 초밥, 런치 초밥 A세트, 런치 초밥 B세트, 런치 특선 초밥 세트, 디너 한라봉 세트, 디너 특선 초밥 세트, 디너 명품 초밥 세트, 1인 혼밥 세트, 도로초밥, 흑돼지 삼겹 훈연 초밥, 연어초밥, 연어스테이크초밥"
204,204,204,함쉐프키친,제주도%20함쉐프키친,https://m.place.naver.com/restaurant/805039877/menu/list,"원조 인생짬뽕, 왕갈비짬뽕, 커플세트(A-C), 패밀리 세트, 스파게티 로제, 흑돼지돈까스, 바다볶음밥, 버섯샐러드, 연어샐러드"
205,205,205,해녀세자매,제주도%20해녀세자매,https://m.place.naver.com/restaurant/1115697217/menu/list,"해녀세자매 너영나영Set A, 해녀해물탕(소), 통갈치조림(소)1마리, 해녀세자매 혼디들엉Set B, 통갈치조림(대)2마리, 해녀해물탕(대), 모듬회와 해산물, 모듬물회, 통갈치구이, 전복구이, 고등어구이, 특대흑옥돔구이, 딱새우찜, 갑오징어튀김, 보말전"
206,206,206,해녀잠수촌,제주도%20해녀잠수촌,https://m.place.naver.com/restaurant/11712196/menu/list,"전복뚝배기, 전복물회, 전복죽, 성게미역국, 회덮밥, 보말미역국, 회국수, 갈치회, 한치물회, 고등어회, 멍게회, 한치회, 해삼, 낙지, 문어"
207,207,207,돈사돈2호점,제주도%20돈사돈2호점,https://m.place.naver.com/restaurant/37664133/menu/list,"흑돼지 근고기 (400g), 흑돼지 근고기 (2인기준)  (600g), 흑돼지 근고기 (3인기준)  (800g), 김치찌개 (+공기밥), 공기밥, 백돼지 근고기 (400g), 백돼지 근고기 (600g), 백돼지 근고기 (800g)"
208,208,208,모살물2호점,제주도%20모살물2호점,https://m.place.naver.com/restaurant/1056433527/menu/list,"벵에돔, 황 돔, 모듬회(대), 매운탕(대), 지리탕(대)"
209,209,209,오지힐 제주,제주도%20오지힐 제주,https://m.place.naver.com/restaurant/1382577279/menu/list,"Jeju파블로바, 오지슈페너, Jeju파블로바 더블, 케언즈, 과테말라, 두메르소, 에티오피아(디카페인), 롱블랙, 라떼, 플랫화이트, 바닐라빈 라떼, 오지아이스, 오지뮬 에이드, 청포도 에이드, 패션후르츠 에이드"
210,210,210,회춘 애월점,제주도%20회춘 애월점,https://m.place.naver.com/restaurant/1586599551/menu/list,"아메리카노, 블루치즈크림뇨끼, 부라타프렌치토스트, 샥슈카&깜바뉴브레드, 브렉퍼스트0, 브런치플레터, 회춘아포가토, 하르방크로플, 쇼콜라라떼, 딸기라떼, 생라임에이드, 생레몬에이드, 청에이드, 스무디4종, 말차라떼"
211,211,211,(주)대유산업,제주도%20(주)대유산업,https://m.place.naver.com/restaurant/85745565/menu/list,
212,212,212,(주)바다바라,제주도%20(주)바다바라,https://m.place.naver.com/restaurant/1892828298/menu/list,베이커리
213,213,213,(주)산굼부리,제주도%20(주)산굼부리,https://m.place.naver.com/restaurant/11491425/menu/list,"성인(대학생포함), 청소년, 어린이(만4세이상), 경로/국가유공자/장애인, 단체성인, 단체청소년/어린이"
214,214,214,(주)한림공원,제주도%20(주)한림공원,https://m.place.naver.com/restaurant/11491281/menu/list,"일반, 청소년, 어린이, 경로"
215,215,215,가시아방국수,제주도%20가시아방국수,https://m.place.naver.com/restaurant/16950110/menu/list,"커플세트, 돔베고기, 고기국수, 비빔국수, 멸치국수, 물만두, 고기국수 곱배기, 비빔국수 곱배기, 멸치국수 곱배기, 돔베고기 절반"
216,216,216,국수바다본점,제주도%20국수바다본점,https://m.place.naver.com/restaurant/35372610/menu/list,"고기국수, 회국수, 비빔국수, 밀면, 성게전복국수, 회국수+고기국수+수육+왕만두2개, 고기국수+비빔국수+돔베고기+왕만두2개, 성게전복국밥, 왕만두(3개), 아강발, 몸국, 수육, 성게전복국수, 제주국수바다 한상차림(4인)"
